channel_name,channel_handle,date,youtube_views,youtube_rsi,live_stream_count,fear_greed_value,fear_greed_classification,btc_price_close,btc_price_high,btc_price_low,btc_volume
,,2024-09-01,,,,26,Fear,57313.44,59085.64,57217.94,1298154355
,,2024-09-02,,,,26,Fear,59147.80,59431.04,57135.27,1383666271
Micha.Stocks,@Micha.Stocks,2024-09-03,13377,,3,26,Fear,57481.84,59825.44,57411.84,1548986994
Micha.Stocks,@Micha.Stocks,2024-09-04,13173,,2,27,Fear,57975.52,58532.47,55625.58,2458579315
Micha.Stocks,@Micha.Stocks,2024-09-05,11793,,2,29,Fear,56167.40,58329.93,55651.61,2198240197
Micha.Stocks,@Micha.Stocks,2024-09-06,19989,,1,22,Extreme Fear,53954.33,57004.28,52552.05,3807917187
,,2024-09-07,,,,23,Extreme Fear,54167.82,54852.05,53742.58,925092004
,,2024-09-08,,,,29,Fear,54879.33,55321.44,53631.93,1042880564
Micha.Stocks,@Micha.Stocks,2024-09-09,12828,,2,26,Fear,57056.31,58005.33,54591.28,2385673386
Micha.Stocks,@Micha.Stocks,2024-09-10,11870,,2,33,Fear,57642.43,58050.66,56397.36,1908344975
Micha.Stocks,@Micha.Stocks,2024-09-11,10557,,1,37,Fear,57354.27,58002.86,55554.25,3160608628
Micha.Stocks,@Micha.Stocks,2024-09-12,12033,,2,31,Fear,58140.61,58573.29,57330.99,2373500503
Micha.Stocks,@Micha.Stocks,2024-09-13,11625,,1,32,Fear,60548.12,60666.01,57637.58,2401277044
,,2024-09-14,,,,50,Neutral,60013.26,60653.12,59433.38,903199598
,,2024-09-15,,,,51,Neutral,59139.21,60409.32,58697.69,1146142290
Micha.Stocks,@Micha.Stocks,2024-09-16,8304,,1,39,Fear,58210.01,59215.73,57486.82,1927790315
Micha.Stocks,@Micha.Stocks,2024-09-17,11247,,2,33,Fear,60321.59,61356.68,57624.63,2440680770
Micha.Stocks,@Micha.Stocks,2024-09-18,23708,,1,45,Fear,61775.68,61794.54,59185.20,2902628125
Micha.Stocks,@Micha.Stocks,2024-09-19,13896,,2,49,Neutral,62963.41,63881.87,61582.28,2939807292
Micha.Stocks,@Micha.Stocks,2024-09-20,11934,,1,54,Neutral,63211.47,64131.22,62345.57,2188110864
,,2024-09-21,,,,54,Neutral,63363.17,63548.08,62767.25,766364348
,,2024-09-22,,,,52,Neutral,63587.45,64015.58,62394.47,1190921326
Micha.Stocks,@Micha.Stocks,2024-09-23,7458,,1,50,Neutral,63341.97,64749.32,62584.50,1734107185
Micha.Stocks,@Micha.Stocks,2024-09-24,10634,,2,54,Neutral,64276.65,64698.02,62710.48,2045185242
Micha.Stocks,@Micha.Stocks,2024-09-25,11436,,2,59,Greed,63144.83,64823.35,62938.97,1526541479
Micha.Stocks,@Micha.Stocks,2024-09-26,12533,,1,50,Neutral,65183.68,65861.15,62660.36,2800234986
Micha.Stocks,@Micha.Stocks,2024-09-27,12047,,2,61,Greed,65790.28,66547.69,64839.11,2378877920
,,2024-09-28,,,,64,Greed,65868.67,66267.41,65442.19,682765289
,,2024-09-29,,,,63,Greed,65611.98,66081.97,65440.30,758322139
Micha.Stocks,@Micha.Stocks,2024-09-30,11088,,2,61,Greed,63314.81,65627.43,62846.03,2712227231
Micha.Stocks,@Micha.Stocks,2024-10-01,9889,,2,50,Neutral,60790.06,64112.99,60156.13,4189744833
Micha.Stocks,@Micha.Stocks,2024-10-02,10485,,2,42,Fear,60641.80,62383.28,59976.82,3402156877
Micha.Stocks,@Micha.Stocks,2024-10-03,7913,,1,37,Fear,60746.35,61478.71,59846.16,3058499959
Micha.Stocks,@Micha.Stocks,2024-10-04,13207,,1,41,Fear,62094.06,62480.52,60458.33,2395319328
,,2024-10-05,,,,49,Neutral,62059.19,62377.77,61689.84,625465515
,,2024-10-06,,,,50,Neutral,62821.76,62976.08,61815.61,838451339
,,2024-10-07,,,,50,Neutral,62209.84,64458.38,62129.23,2602786910
Micha.Stocks,@Micha.Stocks,2024-10-08,11009,,1,49,Neutral,62129.17,63185.68,61832.71,2090901005
Micha.Stocks,@Micha.Stocks,2024-10-09,11635,,2,49,Neutral,60585.22,62513.84,60252.65,2311387233
Micha.Stocks,@Micha.Stocks,2024-10-10,13692,,1,39,Fear,60280.38,61251.26,58869.24,2553922274
Micha.Stocks,@Micha.Stocks,2024-10-11,23076,,1,32,Fear,62517.42,63418.56,60039.18,2236421716
,,2024-10-12,,,,49,Neutral,63197.03,63469.71,62473.78,987509499
,,2024-10-13,,,,50,Neutral,62854.48,63276.36,62036.49,1051974825
Micha.Stocks,@Micha.Stocks,2024-10-14,11656,,1,48,Neutral,66068.25,66494.04,62438.82,3279898051
Micha.Stocks,@Micha.Stocks,2024-10-15,11572,,2,65,Greed,67064.69,67938.85,64791.36,3442311151
Micha.Stocks,@Micha.Stocks,2024-10-16,11002,,2,73,Greed,67614.71,68401.67,66752.45,2841013477
Micha.Stocks,@Micha.Stocks,2024-10-17,9572,,2,71,Greed,67408.87,67931.28,66643.91,2154293296
Micha.Stocks,@Micha.Stocks,2024-10-18,12912,,1,73,Greed,68425.63,69016.74,67167.07,2516405877
,,2024-10-19,,,,72,Greed,68370.04,68681.33,68009.42,526753639
,,2024-10-20,,,,73,Greed,69020.94,69385.31,68094.66,824334290
Micha.Stocks,@Micha.Stocks,2024-10-21,12071,,2,72,Greed,67358.14,69501.44,66811.42,2480399717
Micha.Stocks,@Micha.Stocks,2024-10-22,10128,,1,70,Greed,67390.32,67800.62,66540.70,2184452854
Micha.Stocks,@Micha.Stocks,2024-10-23,9943,,1,71,Greed,66612.97,67436.29,65171.54,2154644448
Micha.Stocks,@Micha.Stocks,2024-10-24,14032,,1,69,Greed,68163.56,68812.40,66456.70,2144280258
Micha.Stocks,@Micha.Stocks,2024-10-25,12153,,1,72,Greed,66577.77,68745.57,65510.53,2952724944
,,2024-10-26,,,,,,67014.72,67366.46,66343.25,946447394
,,2024-10-27,,,,74,Greed,67945.14,68254.55,66852.50,818581011
Micha.Stocks,@Micha.Stocks,2024-10-28,11449,,1,72,Greed,69925.83,70241.74,67541.00,2902994091
Micha.Stocks,@Micha.Stocks,2024-10-29,14971,,1,72,Greed,72723.67,73612.24,69725.05,4194343294
Micha.Stocks,@Micha.Stocks,2024-10-30,14266,,2,77,Extreme Greed,72331.96,72945.06,71408.40,2769522546
Micha.Stocks,@Micha.Stocks,2024-10-31,15978,,2,77,Extreme Greed,70207.54,72675.24,69585.02,2794856637
,,2024-11-01,,,,75,Greed,69473.41,71616.01,68755.75,3429441961
,,2024-11-02,,,,72,Greed,69354.01,69884.38,69006.88,750733289
,,2024-11-03,,,,74,Greed,68747.04,69364.80,67457.91,2028670649
,,2024-11-04,,,,70,Greed,67811.95,69453.56,66793.64,2939056974
,,2024-11-05,,,,70,Greed,69378.09,70540.03,67432.99,3274519977
Micha.Stocks,@Micha.Stocks,2024-11-06,12571,,1,70,Greed,75643.57,76482.20,69295.92,8601347746
,,2024-11-07,,,,77,Extreme Greed,75922.41,76963.92,74472.09,4433063856
,,2024-11-08,,,,75,Greed,76562.31,77289.29,75656.70,3714364388
,,2024-11-09,,,,75,Greed,76716.41,76949.29,75763.57,1208160964
,,2024-11-10,,,,78,Extreme Greed,80429.43,81520.53,76545.66,4582398469
,,2024-11-11,,,,76,Extreme Greed,88758.31,89644.70,80283.65,8845679630
Micha.Stocks,@Micha.Stocks,2024-11-12,12879,,1,80,Extreme Greed,88040.54,90006.57,85125.04,10326697667
,,2024-11-13,,,,84,Extreme Greed,90498.51,93479.86,86252.86,11250681620
,,2024-11-14,,,,88,Extreme Greed,87334.19,91817.29,86679.10,7309565757
,,2024-11-15,,,,80,Extreme Greed,91058.92,91897.76,87118.43,6353615969
,,2024-11-16,,,,86,Extreme Greed,90630.94,91810.87,90092.82,2501576428
,,2024-11-17,,,,90,Extreme Greed,89877.16,91436.45,88728.28,2791320512
,,2024-11-18,,,,83,Extreme Greed,90514.83,92649.98,87547.97,6006522738
Micha.Stocks,@Micha.Stocks,2024-11-19,18922,,1,90,Extreme Greed,92418.48,94056.90,90414.27,5995386487
Micha.Stocks,@Micha.Stocks,2024-11-20,25958,,1,83,Extreme Greed,94379.92,95056.10,91612.46,6579886465
Micha.Stocks,@Micha.Stocks,2024-11-21,14065,,1,82,Extreme Greed,98436.25,99056.40,94152.97,8678686264
,,2024-11-22,,,,94,Extreme Greed,99010.89,99772.99,97207.77,7337283038
,,2024-11-23,,,,93,Extreme Greed,97765.04,99023.88,97219.23,2853544178
,,2024-11-24,,,,80,Extreme Greed,98018.20,98670.34,95781.20,2940396080
